compound_smiles,viscosity_value,temperature_K,pressure_kPa
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,4.268,276.34,101.325
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,4.216,276.47,101.325
N#CCC[n+]1ccn(CCO)c1.[Cl-],4.213,328.15,101.325
CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,4.212,298.1,101.325
CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCC[N+]1(C)CCOCC1,4.209,308.15,101.325
CC[C@H](C)[C@H](NC(C)=O)C(=O)[O-].CC[N+]1(C)CCOCC1,4.209,298.15,101.325
CCCCCC[n+]1ccn(C)c1.[Cl-],4.206,303.15,101.0
CCCCCCCCn1cc[n+](C)c1.N#C[C-](C#N)C#N,4.2,248.2,100.0
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.Cl[Fe-](Cl)(Cl)Cl,4.145,283.15,101.325
CCCCCCCCn1cc[n+](CCC#N)c1.O=S(=O)([O-])C(F)(F)F,4.135,298.15,101.325
CCCCCCCCn1cc[n+](C)c1.[Cl-],4.13,313.15,101.325
CCCC[n+]1ccn(C)c1.COCCOCCOS(=O)(=O)[O-],4.07,283.0,101.325
CCCCCCCCn1cc[n+](C)c1.[Cl-],4.066,313.15,101.325
CCCC[n+]1ccn(C)c1.COCCOCCOS(=O)(=O)[O-],4.065,283.0,101.325
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,4.053,276.9,101.325
C[N+](C)(C)CCO.O=S(=O)([O-])CCN(CCO)CCO,4.046,318.15,100.0
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.Clc1nc[n-]c1Cl,4.04,278.15,101.325
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],4.03,293.15,101.325
CCCC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,4.0,240.2,100.0
